rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
77,Devil and Angel,98599942,131058.0,0.1,98468884,99.9
78,The Visit,98450062,65206105.0,66.2,33243957,33.8
79,The Little Prince,97571250,1339152.0,1.4,96232098,98.6
80,Assassination,96119773,1904682.0,2.0,94215091,98.0
81,Poltergeist,95437994,47425125.0,49.7,48012869,50.3
82,Veteran,94393020,1200627.0,1.3,93192393,98.7
83,In the Heart of the Sea,94320758,25020758.0,26.5,69300000,73.5
84,Kill Zone 2,93638358,11998.0,0.1,93626360,100.0
85,Southpaw,91970827,52421953.0,57.0,39548874,43.0
86,The Second Best Exotic Marigold Hotel,85978266,33078266.0,38.5,52900000,61.5
87,Paper Towns,85512300,32000304.0,37.4,53511996,62.6
88,Sicario,84872444,46889293.0,55.2,37983151,44.8
89,Our Times,83867493,,,83867493,100.0
90,Suck Me Shakespeer 2,83027924,,,83027924,100.0
91,Hitman: Agent 47,82347656,22467450.0,27.3,59880206,72.7
92,Wolf Warrior,81411331,,,81411331,100.0
93,Go Away Mr. Tumor,80606893,286639.0,0.4,80320254,99.6
94,The Wedding Ringer,79799880,64460211.0,80.8,15339669,19.2
95,Paranormal Activity: The Ghost Dimension,78903124,18300124.0,23.2,60603000,76.8
96,The Left Ear,78015473,,,78015473,100.0
97,Tiny Times 4.0,77750000,,,77750000,100.0
98,Bajrangi Bhaijaan,75547184,8178001.0,10.8,67369183,89.2
99,War Room,73267874,67790117.0,92.5,5477757,7.5
100,The Transporter Refueled,72629670,16029670.0,22.1,56600000,77.9
101,Run All Night,71661644,26461644.0,36.9,45200000,63.1
102,13 Hours: The Secret Soldiers of Benghazi,69411370,52853219.0,76.1,16558151,23.9
103,Running Man,68782475,310978.0,0.5,68471497,99.5
104,A Violent Prosecutor,66736633,,,66736633,100.0
105,The Age of Adaline,65663276,42629776.0,64.9,23033500,35.1
106,Monk Comes Down the Mountain,64455686,,,64455686,100.0
107,Zhongkui: Snow Girl and the Dark Crystal,64325947,165428.0,0.3,64160519,99.7
108,The Danish Girl,64191523,11114018.0,17.3,53077505,82.7
109,The Boy,64188367,35819556.0,55.8,28368811,44.2
110,The Hundred Regiments Offensive,63230000,,,63230000,100.0
111,The Longest Ride,62944815,37446117.0,59.5,25498698,40.5
112,Unfriended,62882090,32482090.0,51.7,30400000,48.3
113,Brooklyn,62076141,38322743.0,61.7,23753398,38.3
114,Dragon Ball Z: Resurrection 'F',61768190,8008363.0,13.0,53759827,87.0
115,Woman in Gold,61619773,33307793.0,54.1,28311980,45.9
116,Krampus,61548707,42725475.0,69.4,18823232,30.6
117,The Perfect Guy,60273173,57027435.0,94.6,3245738,5.4
118,Forever Young,59981902,149761.0,0.2,59832141,99.8
119,Miss Granny,59396311,234573.0,0.4,59161738,99.6
120,The Gift,58978653,43787265.0,74.2,15191388,25.8
121,You Are My Sunshine,56640000,,,56640000,100.0
122,No Escape,54418872,27288872.0,50.1,27130000,49.9
123,Sinister 2,53329150,27740955.0,52.0,25588195,48.0
124,Detective Conan: Sunflowers of Inferno,52920296,,,52920296,100.0
125,Prem Ratan Dhan Payo,52715771,4364639.0,8.3,48351132,91.7
126,The Boy Next Door,52425855,35423380.0,67.6,17002475,32.4
127,The Night Before,52395996,43047372.0,82.2,9348624,17.8
128,Hollywood Adventures,52265070,,,52265070,100.0
129,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!",51838845,257343.0,0.5,51581502,99.5
130,Hot Pursuit,51680201,34580201.0,66.9,17100000,33.1
131,The Himalayas,50544493,696717.0,1.4,49847776,98.6
132,The Boy and the Beast,49714378,490643.0,1.0,49223735,99.0
133,Surprise,49567466,,,49567466,100.0
134,Entourage,49263404,32363404.0,65.7,16900000,34.3
135,The Woman in Black 2: Angel of Death,48854305,26501323.0,54.2,22352982,45.8
136,Concussion,48623572,34542474.0,71.0,14081098,29.0
137,Inside Men,47616503,,,47616503,100.0
138,The Dead End,47600000,,,47600000,100.0
139,Boonie Bears: A Mystical Winter,47581416,,,47581416,100.0
140,Mortdecai,47275695,7696134.0,16.3,39579561,83.7
141,Let's Get Married,45972724,462918.0,1.0,45509806,99.0
142,Somewhere Only We Know,45737711,482341.0,1.1,45255370,98.9
143,"McFarland, USA",45710059,44482410.0,97.3,1227649,2.7
144,Hero,45565534,88675.0,0.2,45476859,99.8
145,Still Alice,44779195,18754371.0,41.9,26024824,58.1
146,Max,43956255,42656255.0,97.0,1300000,3.0
147,The DUFF,43709744,34030343.0,77.9,9679401,22.1
148,Legend,42972994,1872994.0,4.4,41100000,95.6
149,The Gallows,42964410,22764410.0,53.0,20200000,47.0
150,Love the Coopers,42426912,26302731.0,62.0,16124181,38.0
151,The Throne,42165755,,,42165755,100.0
152,The Lady in the Van,41387687,10021175.0,24.2,31366512,75.8
153,Ricki and the Flash,41325328,26822144.0,64.9,14503184,35.1
154,Spanish Affair 2,40591862,,,40591862,100.0
155,Carol,40272135,12711491.0,31.6,27560644,68.4
156,Northern Limit Line,40034677,337907.0,0.8,39696770,99.2
157,Ex-Files 2: The Backup Strikes Back,39108291,,,39108291,100.0
158,Criminal,38803993,14708696.0,37.9,24095297,62.1
159,Boruto: Naruto the Movie,38362448,919651.0,2.4,37442797,97.6
160,The Lazarus Effect,38356892,25801570.0,67.3,12555322,32.7
161,Helios,37938005,,,37938005,100.0
162,A Walk in the Woods,37461274,29504281.0,78.8,7956993,21.2
163,Ex Machina,36869414,25442958.0,69.0,11426456,31.0
164,Burnt,36606743,13651946.0,37.3,22954797,62.7
165,The Priests,36577134,185093.0,0.5,36392041,99.5
166,The New Adventures of Aladdin,35771820,,,35771820,100.0
167,Heidi,35755670,,,35755670,100.0
168,Room,35401758,14677654.0,41.5,20724104,58.5
169,Lost and Love,34930177,188817.0,0.5,34741360,99.5
170,Secret in Their Eyes,34854990,20180155.0,57.9,14674835,42.1
171,"Dad, Where Are We Going 2",34840000,,,34840000,100.0
172,Doraemon: Nobita no Uchû Eiyûki,34811747,,,34811747,100.0
173,Steve Jobs,34441873,17766658.0,51.6,16675215,48.4
174,Victor Frankenstein,34227298,5775076.0,16.9,28452222,83.1
175,The Witness,33963557,418063.0,1.2,33545494,98.8
176,Project Almanac,33213241,22348241.0,67.3,10865000,32.7
177,Dilwale,31994323,4871263.0,15.2,27123060,84.8
178,Suffragette,31972096,4702420.0,14.7,27269676,85.3
179,Self/less,31807156,12279691.0,38.6,19527465,61.4
180,Saving Mr. Wu,31222161,92696.0,0.3,31129465,99.7
181,Attack on Titan Part 1,30810658,449523.0,1.5,30361135,98.5
182,A Man Called Ove,30692889,3479315.0,11.3,27213574,88.7
183,Far from the Madding Crowd,30229977,12236500.0,40.5,17993477,59.5
184,Mr. Holmes,29355203,17737646.0,60.4,11617557,39.6
185,Love & Mercy,28641776,12551031.0,43.8,16090745,56.2
186,Flying Colors,28525563,,,28525563,100.0
187,Triumph in the Skies,28085162,,,28085162,100.0
188,The 33,27972023,12227722.0,43.7,15744301,56.3
189,Bride Wars,27670000,,,27670000,100.0
190,Irrational Man,27391084,4030360.0,14.7,23360724,85.3
191,Detective K: Secret of the Lost Island,27387870,185367.0,0.7,27202503,99.3
192,To the Fore,27267799,,,27267799,100.0
193,American Ultra,27262374,14440985.0,53.0,12821389,47.0
194,Orange,26261536,,,26261536,100.0
195,Aloha,26250020,21067116.0,80.3,5182904,19.7
196,Huevos: Little Rooster's Egg-cellent Adventure,25892561,9080818.0,35.1,16811743,64.9
197,Dügün Dernek 2: Sünnet,25836668,,,25836668,100.0
198,Look Who's Back,25513752,,,25513752,100.0
199,Serial Teachers 2,25364150,,,25364150,100.0
200,Wild City,24817852,34866.0,0.1,24782986,99.9
